item,report_date,pettah_wholesale_today,narahenpita_retail_today,import
Potato (Local),6/16/2025,330,380,
Potato (Imp),6/16/2025,151,220,
Dried Chilli (Imp),6/16/2025,550,760,
Coconut,6/16/2025,160,230,
Coconut oil,6/16/2025,853,894,
Red Dhal,6/16/2025,250,280,
Sugar,6/16/2025,215,230,
Egg,6/16/2025,34,36,
Katta (Imp),6/16/2025,1600,2800,
Sprat (Imp),6/16/2025,850,1200,
Banana (Sour),6/16/2025,100,140,
Papaw,6/16/2025,80,200,
Pineapple,6/16/2025,,520,
Apple (Imp),6/16/2025,,250,
Orange (Imp),6/16/2025,,300,
Samba,6/16/2025,235,,
Nadu,6/16/2025,225,230,no
Kekulu (White),6/16/2025,215,220,
Kekulu (Red),6/16/2025,215,220,
Ponni Samba (Imp),6/16/2025,228,,
Nadu,6/16/2025,210,220,no
Kekulu (White) (Imp),6/16/2025,208,210,
Kelawalla,6/16/2025,1500,2520,
Thalapath,6/16/2025,2000,2580,
Balaya,6/16/2025,1300,1400,
Paraw,6/16/2025,1800,1900,
Salaya,6/16/2025,850,880,
Hurulla,6/16/2025,1600,,
Linna,6/16/2025,1170,,
Beans,6/13/2025,500,700,
Carrot,6/13/2025,650,800,
Cabbage,6/13/2025,400,600,
Tomato,6/13/2025,450,600,
Brinjal,6/13/2025,450,600,
Pumpkin,6/13/2025,100,240,
Snake gourd,6/13/2025,250,480,
Green Chilli,6/13/2025,700,1000,
Lime,6/13/2025,400,800,
Red Onion (Local),6/13/2025,350,,
Red Onion (lmp),6/13/2025,344,520,
Big Onion (Local),6/13/2025,,,
Big Onion (Imp),6/13/2025,106,150,
Potato (Local),6/13/2025,298,380,
Potato (Imp),6/13/2025,156,220,
Dried Chilli (Imp),6/13/2025,550,760,
Coconut,6/13/2025,165,230,
Coconut oil,6/13/2025,863,894,
Red Dhal,6/13/2025,250,280,
Sugar,6/13/2025,218,230,
Egg,6/13/2025,35,36,
Katta (Imp),6/13/2025,1600,2800,
Sprat (Imp),6/13/2025,850,1200,
Banana (Sour),6/13/2025,100,150,
Papaw,6/13/2025,100,230,
Pineapple,6/13/2025,,470,
Apple (Imp),6/13/2025,,250,
Orange (Imp),6/13/2025,,300,
Samba,6/13/2025,235,,
Nadu,6/13/2025,225,230,no
Kekulu (White),6/13/2025,215,220,
Kekulu (Red),6/13/2025,215,220,
Ponni Samba (Imp),6/13/2025,228,,
Nadu,6/13/2025,210,220,no
Kekulu (White) (Imp),6/13/2025,208,210,
Kelawalla,6/13/2025,1400,2600,
Thalapath,6/13/2025,2000,2600,
Balaya,6/13/2025,,,
Paraw,6/13/2025,1500,2100,
Salaya,6/13/2025,750,940,
Hurulla,6/13/2025,,,
Linna,6/13/2025,1080,1260,
Beans,6/12/2025,450,800,
Carrot,6/12/2025,650,800,
Cabbage,6/12/2025,400,600,
Tomato,6/12/2025,500,600,
Brinjal,6/12/2025,450,600,
Pumpkin,6/12/2025,100,240,
Snake gourd,6/12/2025,250,480,
Green Chilli,6/12/2025,650,1000,
Lime,6/12/2025,400,800,
Red Onion (Local),6/12/2025,350,,
Red Onion (lmp),6/12/2025,340,520,
Big Onion (Local),6/12/2025,,,
Big Onion (Imp),6/12/2025,104,150,
Potato (Local),6/12/2025,288,380,
Potato (Imp),6/12/2025,159,220,
Dried Chilli (Imp),6/12/2025,550,760,
Coconut,6/12/2025,165,230,
Coconut oil,6/12/2025,863,894,
Red Dhal,6/12/2025,253,280,
Sugar,6/12/2025,218,230,
Egg,6/12/2025,35,36,
Katta (Imp),6/12/2025,1600,2800,
Sprat (Imp),6/12/2025,850,1200,
Banana (Sour),6/12/2025,80,150,
Papaw,6/12/2025,100,230,
Pineapple,6/12/2025,,470,
Apple (Imp),6/12/2025,,250,
Orange (Imp),6/12/2025,,300,
Samba,6/12/2025,235,,
Nadu,6/12/2025,225,230,no
Kekulu (White),6/12/2025,215,220,
Kekulu (Red),6/12/2025,215,220,
Ponni Samba (Imp),6/12/2025,228,,
Nadu,6/12/2025,210,220,no
Kekulu (White) (Imp),6/12/2025,208,210,
Kelawalla,6/12/2025,1400,2600,
Thalapath,6/12/2025,2000,2600,
Balaya,6/12/2025,1000,,
Paraw,6/12/2025,1600,1600,
Salaya,6/12/2025,800,980,
Hurulla,6/12/2025,,,
Linna,6/12/2025,950,1140,
Beans,6/11/2025,450,700,
Carrot,6/11/2025,600,800,
Cabbage,6/11/2025,420,600,
Tomato,6/11/2025,600,740,
Brinjal,6/11/2025,400,600,
Pumpkin,6/11/2025,100,200,
Snake gourd,6/11/2025,250,400,
Green Chilli,6/11/2025,600,1000,
Lime,6/11/2025,250,600,
Red Onion (Local),6/11/2025,350,,
Red Onion (lmp),6/11/2025,346,520,
Big Onion (Local),6/11/2025,,,
Big Onion (Imp),6/11/2025,101,150,
Potato (Local),6/11/2025,290,380,
Potato (Imp),6/11/2025,158,220,
Dried Chilli (Imp),6/11/2025,550,760,
Coconut,6/11/2025,170,230,
Coconut oil,6/11/2025,863,894,
Red Dhal,6/11/2025,253,280,
Sugar,6/11/2025,219,230,
Egg,6/11/2025,35,36,
Katta (Imp),6/11/2025,1600,2800,
Sprat (Imp),6/11/2025,850,1200,
Banana (Sour),6/11/2025,80,160,
Papaw,6/11/2025,100,200,
Pineapple,6/11/2025,,380,
Apple (Imp),6/11/2025,,250,
Orange (Imp),6/11/2025,,250,
Samba,6/11/2025,235,,
Nadu,6/11/2025,225,230,no
Kekulu (White),6/11/2025,215,220,
Kekulu (Red),6/11/2025,215,220,
Ponni Samba (Imp),6/11/2025,228,,
Nadu,6/11/2025,210,220,no
Kekulu (White) (Imp),6/11/2025,208,210,
Kelawalla,6/11/2025,1500,2600,
Thalapath,6/11/2025,2050,2880,
Balaya,6/11/2025,1200,,
Paraw,6/11/2025,1500,1920,
Salaya,6/11/2025,800,820,
Hurulla,6/11/2025,,,
Linna,6/11/2025,800,980,
Beans,6/9/2025,400,700,
Carrot,6/9/2025,600,800,
Cabbage,6/9/2025,450,600,
Tomato,6/9/2025,550,760,
Brinjal,6/9/2025,400,600,
Pumpkin,6/9/2025,100,200,
Snake gourd,6/9/2025,250,400,
Green Chilli,6/9/2025,650,1000,
Lime,6/9/2025,250,600,
Red Onion (Local),6/9/2025,350,,
Red Onion (lmp),6/9/2025,342,520,
Big Onion (Local),6/9/2025,,,
Big Onion (Imp),6/9/2025,98,150,
Potato (Local),6/9/2025,287,380,
Potato (Imp),6/9/2025,163,220,
Dried Chilli (Imp),6/9/2025,550,760,
Coconut,6/9/2025,170,230,
Coconut oil,6/9/2025,863,894,
Red Dhal,6/9/2025,250,280,
Sugar,6/9/2025,219,230,
Egg,6/9/2025,35,36,
Katta (Imp),6/9/2025,1600,2800,
Sprat (Imp),6/9/2025,850,1200,
Banana (Sour),6/9/2025,80,160,
Papaw,6/9/2025,90,200,
Pineapple,6/9/2025,,380,
Apple (Imp),6/9/2025,,250,
Orange (Imp),6/9/2025,,250,
Samba,6/9/2025,235,,
Nadu,6/9/2025,225,230,no
Kekulu (White),6/9/2025,215,220,
Kekulu (Red),6/9/2025,215,220,
Ponni Samba (Imp),6/9/2025,228,,
Nadu,6/9/2025,210,220,no
Kekulu (White) (Imp),6/9/2025,208,210,
Kelawalla,6/9/2025,1350,2680,
Thalapath,6/9/2025,,2880,
Balaya,6/9/2025,1300,1400,
Paraw,6/9/2025,1500,,
Salaya,6/9/2025,800,960,
Hurulla,6/9/2025,,,
Linna,6/9/2025,730,1120,
Beans,6/6/2025,400,800,
Carrot,6/6/2025,550,800,
Cabbage,6/6/2025,350,480,
Tomato,6/6/2025,600,800,
Brinjal,6/6/2025,400,700,
Pumpkin,6/6/2025,130,240,
Snake gourd,6/6/2025,220,400,
Green Chilli,6/6/2025,700,900,
Lime,6/6/2025,300,600,
Red Onion (Local),6/6/2025,315,,
Red Onion (lmp),6/6/2025,340,520,
Big Onion (Local),6/6/2025,,,
Big Onion (Imp),6/6/2025,91,150,
Potato (Local),6/6/2025,297,380,
Potato (Imp),6/6/2025,155,220,
Dried Chilli (Imp),6/6/2025,550,760,
Coconut,6/6/2025,170,230,
Coconut oil,6/6/2025,863,894,
Red Dhal,6/6/2025,250,280,
Sugar,6/6/2025,217,230,
Egg,6/6/2025,30,36,
Katta (Imp),6/6/2025,1600,2800,
Sprat (Imp),6/6/2025,850,1200,
Banana (Sour),6/6/2025,80,100,
Papaw,6/6/2025,70,180,
Pineapple,6/6/2025,,350,
Apple (Imp),6/6/2025,,250,
Orange (Imp),6/6/2025,,250,
Samba,6/6/2025,235,,
Nadu,6/6/2025,225,230,no
Kekulu (White),6/6/2025,215,220,
Kekulu (Red),6/6/2025,215,220,
Ponni Samba (Imp),6/6/2025,228,,
Nadu,6/6/2025,210,220,no
Kekulu (White) (Imp),6/6/2025,208,210,
Kelawalla,6/6/2025,1500,2680,
Thalapath,6/6/2025,2100,2880,
Balaya,6/6/2025,1100,1580,
Paraw,6/6/2025,1300,1900,
Salaya,6/6/2025,800,960,
Hurulla,6/6/2025,1450,1740,
Linna,6/6/2025,1250,1420,
Beans,6/5/2025,500,700,
Carrot,6/5/2025,550,800,
Cabbage,6/5/2025,350,480,
Tomato,6/5/2025,550,700,
Brinjal,6/5/2025,350,600,
Pumpkin,6/5/2025,130,240,
Snake gourd,6/5/2025,200,400,
Green Chilli,6/5/2025,700,800,
Lime,6/5/2025,300,600,
Red Onion (Local),6/5/2025,333,,
Red Onion (lmp),6/5/2025,340,520,
Big Onion (Local),6/5/2025,,,
Big Onion (Imp),6/5/2025,94,150,
Potato (Local),6/5/2025,297,380,
Potato (Imp),6/5/2025,154,220,
Dried Chilli (Imp),6/5/2025,550,760,
Coconut,6/5/2025,170,230,
Coconut oil,6/5/2025,863,894,
Red Dhal,6/5/2025,250,280,
Sugar,6/5/2025,215,230,
Egg,6/5/2025,32,36,
Katta (Imp),6/5/2025,1600,2800,
Sprat (Imp),6/5/2025,850,1200,
Banana (Sour),6/5/2025,80,100,
Papaw,6/5/2025,70,180,
Pineapple,6/5/2025,,350,
Apple (Imp),6/5/2025,,250,
Orange (Imp),6/5/2025,,250,
Samba,6/5/2025,235,,
Nadu,6/5/2025,225,230,no
Kekulu (White),6/5/2025,215,220,
Kekulu (Red),6/5/2025,215,220,
Ponni Samba (Imp),6/5/2025,228,,
Nadu,6/5/2025,210,220,no
Kekulu (White) (Imp),6/5/2025,208,210,
Kelawalla,6/5/2025,1600,2900,
Thalapath,6/5/2025,2300,2880,
Balaya,6/5/2025,1300,1580,
Paraw,6/5/2025,1500,1800,
Salaya,6/5/2025,750,920,
Hurulla,6/5/2025,,,
Linna,6/5/2025,1350,1520,
Beans,6/4/2025,350,540,
Carrot,6/4/2025,700,840,
Cabbage,6/4/2025,350,460,
Tomato,6/4/2025,550,760,
Brinjal,6/4/2025,350,600,
Pumpkin,6/4/2025,130,240,
Snake gourd,6/4/2025,200,480,
Green Chilli,6/4/2025,700,800,
Lime,6/4/2025,300,600,
Red Onion (Local),6/4/2025,320,,
Red Onion (lmp),6/4/2025,342,520,
Big Onion (Local),6/4/2025,,,
Big Onion (Imp),6/4/2025,98,150,
Potato (Local),6/4/2025,300,380,
Potato (Imp),6/4/2025,155,220,
Dried Chilli (Imp),6/4/2025,550,760,
Coconut,6/4/2025,175,230,
Coconut oil,6/4/2025,863,894,
Red Dhal,6/4/2025,250,280,
Sugar,6/4/2025,214,230,
Egg,6/4/2025,32,35,
Katta (Imp),6/4/2025,1600,2800,
Sprat (Imp),6/4/2025,850,1200,
Banana (Sour),6/4/2025,80,100,
Papaw,6/4/2025,70,180,
Pineapple,6/4/2025,,300,
Apple (Imp),6/4/2025,,250,
Orange (Imp),6/4/2025,,250,
Samba,6/4/2025,235,,
Nadu,6/4/2025,225,230,no
Kekulu (White),6/4/2025,215,220,
Kekulu (Red),6/4/2025,215,220,
Ponni Samba (Imp),6/4/2025,228,,
Nadu,6/4/2025,210,220,no
Kekulu (White) (Imp),6/4/2025,208,210,
Kelawalla,6/4/2025,1500,2900,
Thalapath,6/4/2025,,,
Balaya,6/4/2025,1300,1660,
Paraw,6/4/2025,1500,1800,
Salaya,6/4/2025,750,920,
Hurulla,6/4/2025,,,
Linna,6/4/2025,1300,1460,
Beans,6/3/2025,350,540,
Carrot,6/3/2025,650,1000,
Cabbage,6/3/2025,330,460,
Tomato,6/3/2025,550,800,
Brinjal,6/3/2025,300,600,
Pumpkin,6/3/2025,130,240,
Snake gourd,6/3/2025,200,480,
Green Chilli,6/3/2025,650,800,
Lime,6/3/2025,300,600,
Red Onion (Local),6/3/2025,310,,
Red Onion (lmp),6/3/2025,340,520,
Big Onion (Local),6/3/2025,,,
Big Onion (Imp),6/3/2025,104,150,
Potato (Local),6/3/2025,323,380,
Potato (Imp),6/3/2025,154,220,
Dried Chilli (Imp),6/3/2025,550,760,
Coconut,6/3/2025,180,230,
Coconut oil,6/3/2025,873,926,
Red Dhal,6/3/2025,250,280,
Sugar,6/3/2025,214,230,
Egg,6/3/2025,31,35,
Katta (Imp),6/3/2025,1550,2800,
Sprat (Imp),6/3/2025,850,1200,
Banana (Sour),6/3/2025,80,100,
Papaw,6/3/2025,80,180,
Pineapple,6/3/2025,,300,
Apple (Imp),6/3/2025,,250,
Orange (Imp),6/3/2025,,250,
Samba,6/3/2025,235,,
Nadu,6/3/2025,225,230,no
Kekulu (White),6/3/2025,215,220,
Kekulu (Red),6/3/2025,215,220,
Ponni Samba (Imp),6/3/2025,228,,
Nadu,6/3/2025,210,220,no
Kekulu (White) (Imp),6/3/2025,208,210,
Kelawalla,6/3/2025,1600,2900,
Thalapath,6/3/2025,2100,,
Balaya,6/3/2025,1300,1660,
Paraw,6/3/2025,1500,1920,
Salaya,6/3/2025,750,920,
Hurulla,6/3/2025,,,
Linna,6/3/2025,1300,1480,
Beans,6/2/2025,350,560,
Carrot,6/2/2025,650,1000,
Cabbage,6/2/2025,300,480,
Tomato,6/2/2025,550,800,
Brinjal,6/2/2025,350,600,
Pumpkin,6/2/2025,130,240,
Snake gourd,6/2/2025,180,480,
Green Chilli,6/2/2025,650,800,
Lime,6/2/2025,300,600,
Red Onion (Local),6/2/2025,310,,
Red Onion (lmp),6/2/2025,352,520,
Big Onion (Local),6/2/2025,,,
Big Onion (Imp),6/2/2025,105,150,
Potato (Local),6/2/2025,323,380,
Potato (Imp),6/2/2025,149,220,
Dried Chilli (Imp),6/2/2025,550,760,
Coconut,6/2/2025,180,230,
Coconut oil,6/2/2025,873,926,
Red Dhal,6/2/2025,250,280,
Sugar,6/2/2025,214,230,
Egg,6/2/2025,31,35,
Katta (Imp),6/2/2025,1550,2800,
Sprat (Imp),6/2/2025,850,1200,
Banana (Sour),6/2/2025,80,100,
Papaw,6/2/2025,80,180,
Pineapple,6/2/2025,,300,
Apple (Imp),6/2/2025,,250,
Orange (Imp),6/2/2025,,250,
Samba,6/2/2025,235,,
Nadu,6/2/2025,225,230,no
Kekulu (White),6/2/2025,215,220,
Kekulu (Red),6/2/2025,215,220,
Ponni Samba (Imp),6/2/2025,228,,
Nadu,6/2/2025,210,220,no
Kekulu (White) (Imp),6/2/2025,208,210,
Kelawalla,6/2/2025,1750,2900,
Thalapath,6/2/2025,2100,,
Balaya,6/2/2025,1400,1680,
Paraw,6/2/2025,1600,1920,
Salaya,6/2/2025,650,820,
Hurulla,6/2/2025,,,
Linna,6/2/2025,1300,1460,
Beans,5/30/2025,300,480,
Carrot,5/30/2025,600,800,
Cabbage,5/30/2025,250,480,
Tomato,5/30/2025,500,800,
Brinjal,5/30/2025,400,600,
Pumpkin,5/30/2025,130,240,
Snake gourd,5/30/2025,180,400,
Green Chilli,5/30/2025,400,600,
Lime,5/30/2025,300,600,
Red Onion (Local),5/30/2025,350,,
Red Onion (lmp),5/30/2025,338,480,
Big Onion (Local),5/30/2025,,,
Big Onion (Imp),5/30/2025,100,240,
Potato (Local),5/30/2025,323,480,
Potato (Imp),5/30/2025,155,240,
Dried Chilli (Imp),5/30/2025,550,760,
Coconut,5/30/2025,180,230,
Coconut oil,5/30/2025,883,926,
Red Dhal,5/30/2025,250,280,
Sugar,5/30/2025,214,230,
Egg,5/30/2025,30,33,
Katta (Imp),5/30/2025,1550,2800,
Sprat (Imp),5/30/2025,850,1200,
Banana (Sour),5/30/2025,80,100,
Papaw,5/30/2025,80,180,
Pineapple,5/30/2025,,300,
Apple (Imp),5/30/2025,,250,
Orange (Imp),5/30/2025,,250,
Samba,5/30/2025,235,,
Nadu,5/30/2025,225,230,no
Kekulu (White),5/30/2025,215,220,
Kekulu (Red),5/30/2025,215,220,
Ponni Samba (Imp),5/30/2025,228,,
Nadu,5/30/2025,210,220,no
Kekulu (White) (Imp),5/30/2025,208,210,
Kelawalla,5/30/2025,1700,2900,
Thalapath,5/30/2025,2200,,
Balaya,5/30/2025,1400,1620,
Paraw,5/30/2025,1500,1800,
Salaya,5/30/2025,700,880,
Hurulla,5/30/2025,,,
Linna,5/30/2025,1200,1420,
Beans,5/29/2025,250,480,
Carrot,5/29/2025,700,700,
Cabbage,5/29/2025,300,480,
Tomato,5/29/2025,500,800,
Brinjal,5/29/2025,350,600,
Pumpkin,5/29/2025,130,240,
Snake gourd,5/29/2025,180,400,
Green Chilli,5/29/2025,400,600,
Lime,5/29/2025,300,600,
Red Onion (Local),5/29/2025,333,,
Red Onion (lmp),5/29/2025,340,480,
Big Onion (Local),5/29/2025,,,
Big Onion (Imp),5/29/2025,95,240,
Potato (Local),5/29/2025,307,480,
Potato (Imp),5/29/2025,163,240,
Dried Chilli (Imp),5/29/2025,550,760,
Coconut,5/29/2025,180,230,
Coconut oil,5/29/2025,883,926,
Red Dhal,5/29/2025,250,280,
Sugar,5/29/2025,214,230,
Egg,5/29/2025,30,33,
Katta (Imp),5/29/2025,1550,2800,
Sprat (Imp),5/29/2025,850,1200,
Banana (Sour),5/29/2025,80,100,
Papaw,5/29/2025,100,180,
Pineapple,5/29/2025,,300,
Apple (Imp),5/29/2025,,250,
Orange (Imp),5/29/2025,,250,
Samba,5/29/2025,235,240,
Nadu,5/29/2025,225,230,no
Kekulu (White),5/29/2025,215,220,
Kekulu (Red),5/29/2025,215,220,
Ponni Samba (Imp),5/29/2025,228,230,
Nadu,5/29/2025,210,220,no
Kekulu (White) (Imp),5/29/2025,208,,
Kelawalla,5/29/2025,1800,2900,
Thalapath,5/29/2025,,,
Balaya,5/29/2025,1400,1680,
Paraw,5/29/2025,1500,1800,
Salaya,5/29/2025,750,900,
Hurulla,5/29/2025,,,
Linna,5/29/2025,1250,1420,
Beans,5/28/2025,250,480,
Carrot,5/28/2025,700,700,
Cabbage,5/28/2025,300,500,
Tomato,5/28/2025,500,800,
Brinjal,5/28/2025,400,600,
Pumpkin,5/28/2025,150,240,
Snake gourd,5/28/2025,200,480,
Green Chilli,5/28/2025,350,600,
Lime,5/28/2025,300,600,
Red Onion (Local),5/28/2025,327,,
Red Onion (lmp),5/28/2025,332,480,
Big Onion (Local),5/28/2025,,,
Big Onion (Imp),5/28/2025,94,240,
Potato (Local),5/28/2025,293,480,
Potato (Imp),5/28/2025,163,240,
Dried Chilli (Imp),5/28/2025,550,760,
Coconut,5/28/2025,180,230,
Coconut oil,5/28/2025,850,926,
Red Dhal,5/28/2025,252,280,
Sugar,5/28/2025,214,230,
Egg,5/28/2025,30,33,
Katta (Imp),5/28/2025,1550,2800,
Sprat (Imp),5/28/2025,850,1200,
Banana (Sour),5/28/2025,80,100,
Papaw,5/28/2025,100,180,
Pineapple,5/28/2025,,300,
Apple (Imp),5/28/2025,,250,
Orange (Imp),5/28/2025,,250,
Samba,5/28/2025,235,240,
Nadu,5/28/2025,225,230,no
Kekulu (White),5/28/2025,215,220,
Kekulu (Red),5/28/2025,215,220,
Ponni Samba (Imp),5/28/2025,228,230,
Nadu,5/28/2025,210,220,no
Kekulu (White) (Imp),5/28/2025,208,,
Kelawalla,5/28/2025,1800,2900,
Thalapath,5/28/2025,2000,2640,
Balaya,5/28/2025,1400,1680,
Paraw,5/28/2025,1500,1900,
Salaya,5/28/2025,700,740,
Hurulla,5/28/2025,,,
Linna,5/28/2025,1200,1340,
Beans,5/27/2025,300,480,
Carrot,5/27/2025,650,800,
Cabbage,5/27/2025,300,480,
Tomato,5/27/2025,550,800,
Brinjal,5/27/2025,400,600,
Pumpkin,5/27/2025,150,240,
Snake gourd,5/27/2025,200,480,
Green Chilli,5/27/2025,400,600,
Lime,5/27/2025,300,600,
Red Onion (Local),5/27/2025,290,,
Red Onion (lmp),5/27/2025,318,480,
Big Onion (Local),5/27/2025,,,
Big Onion (Imp),5/27/2025,94,240,
Potato (Local),5/27/2025,293,480,
Potato (Imp),5/27/2025,184,240,
Dried Chilli (Imp),5/27/2025,550,760,
Coconut,5/27/2025,180,230,
Coconut oil,5/27/2025,850,926,
Red Dhal,5/27/2025,252,280,
Sugar,5/27/2025,214,230,
Egg,5/27/2025,30,33,
Katta (Imp),5/27/2025,1550,2800,
Sprat (Imp),5/27/2025,850,1200,
Banana (Sour),5/27/2025,80,100,
Papaw,5/27/2025,100,180,
Pineapple,5/27/2025,,300,
Apple (Imp),5/27/2025,,250,
Orange (Imp),5/27/2025,,250,
Samba,5/27/2025,235,240,
Nadu,5/27/2025,225,230,no
Kekulu (White),5/27/2025,215,220,
Kekulu (Red),5/27/2025,215,220,
Ponni Samba (Imp),5/27/2025,228,230,
Nadu,5/27/2025,210,220,no
Kekulu (White) (Imp),5/27/2025,208,,
Kelawalla,5/27/2025,1800,2900,
Thalapath,5/27/2025,2150,2640,
Balaya,5/27/2025,1300,,
Paraw,5/27/2025,1500,1900,
Salaya,5/27/2025,600,740,
Hurulla,5/27/2025,,,
Linna,5/27/2025,1150,,
Beans,5/26/2025,300,500,
Carrot,5/26/2025,600,800,
Cabbage,5/26/2025,300,480,
Tomato,5/26/2025,500,760,
Brinjal,5/26/2025,350,600,
Pumpkin,5/26/2025,150,240,
Snake gourd,5/26/2025,200,480,
Green Chilli,5/26/2025,350,400,
Lime,5/26/2025,250,600,
Red Onion (Local),5/26/2025,300,,
Red Onion (lmp),5/26/2025,293,480,
Big Onion (Local),5/26/2025,,,
Big Onion (Imp),5/26/2025,94,240,
Potato (Local),5/26/2025,293,480,
Potato (Imp),5/26/2025,162,240,
Dried Chilli (Imp),5/26/2025,550,760,
Coconut,5/26/2025,180,230,
Coconut oil,5/26/2025,850,926,
Red Dhal,5/26/2025,252,280,
Sugar,5/26/2025,215,230,
Egg,5/26/2025,29,33,
Katta (Imp),5/26/2025,1550,2800,
Sprat (Imp),5/26/2025,850,1200,
Banana (Sour),5/26/2025,80,100,
Papaw,5/26/2025,100,180,
Pineapple,5/26/2025,,300,
Apple (Imp),5/26/2025,,250,
Orange (Imp),5/26/2025,,250,
Samba,5/26/2025,235,240,
Nadu,5/26/2025,225,230,no
Kekulu (White),5/26/2025,215,220,
Kekulu (Red),5/26/2025,215,220,
Ponni Samba (Imp),5/26/2025,228,230,
Nadu,5/26/2025,210,220,no
Kekulu (White) (Imp),5/26/2025,208,,
Kelawalla,5/26/2025,1750,2900,
Thalapath,5/26/2025,2000,,
Balaya,5/26/2025,1300,,
Paraw,5/26/2025,1500,1980,
Salaya,5/26/2025,480,720,
Hurulla,5/26/2025,,,
Linna,5/26/2025,1050,1220,
Beans,5/23/2025,250,480,
Carrot,5/23/2025,600,800,
Cabbage,5/23/2025,250,480,
Tomato,5/23/2025,500,800,
Brinjal,5/23/2025,300,600,
Pumpkin,5/23/2025,150,240,
Snake gourd,5/23/2025,250,480,
Green Chilli,5/23/2025,180,400,
Lime,5/23/2025,250,600,
Red Onion (Local),5/23/2025,300,,
Red Onion (lmp),5/23/2025,313,520,
Big Onion (Local),5/23/2025,,,
Big Onion (Imp),5/23/2025,93,140,
Potato (Local),5/23/2025,303,270,
Potato (Imp),5/23/2025,170,,
Dried Chilli (Imp),5/23/2025,550,760,
Coconut,5/23/2025,180,230,
Coconut oil,5/23/2025,850,907,
Red Dhal,5/23/2025,252,280,
Sugar,5/23/2025,215,230,
Egg,5/23/2025,27,33,
Katta (Imp),5/23/2025,1550,2800,
Sprat (Imp),5/23/2025,850,1200,
Banana (Sour),5/23/2025,80,160,
Papaw,5/23/2025,100,180,
Pineapple,5/23/2025,,300,
Apple (Imp),5/23/2025,,250,
Orange (Imp),5/23/2025,,250,
Samba,5/23/2025,235,240,
Nadu,5/23/2025,225,230,no
Kekulu (White),5/23/2025,215,220,
Kekulu (Red),5/23/2025,215,220,
Ponni Samba (Imp),5/23/2025,228,230,
Nadu,5/23/2025,210,220,no
Kekulu (White) (Imp),5/23/2025,208,,
Kelawalla,5/23/2025,1800,2900,
Thalapath,5/23/2025,2000,,
Balaya,5/23/2025,1300,1580,
Paraw,5/23/2025,1500,1980,
Salaya,5/23/2025,480,640,
Hurulla,5/23/2025,,,
Linna,5/23/2025,1100,1240,
Beans,5/22/2025,200,480,
Carrot,5/22/2025,700,800,
Cabbage,5/22/2025,250,500,
Tomato,5/22/2025,500,700,
Brinjal,5/22/2025,400,600,
Pumpkin,5/22/2025,170,240,
Snake gourd,5/22/2025,300,600,
Green Chilli,5/22/2025,200,500,
Lime,5/22/2025,250,600,
Red Onion (Local),5/22/2025,300,,
Red Onion (lmp),5/22/2025,313,520,
Big Onion (Local),5/22/2025,,,
Big Onion (Imp),5/22/2025,91,140,
Potato (Local),5/22/2025,303,270,
Potato (Imp),5/22/2025,176,,
Dried Chilli (Imp),5/22/2025,575,760,
Coconut,5/22/2025,180,230,
Coconut oil,5/22/2025,850,907,
Red Dhal,5/22/2025,252,280,
Sugar,5/22/2025,215,230,
Egg,5/22/2025,27,33,
Katta (Imp),5/22/2025,1550,2800,
Sprat (Imp),5/22/2025,850,1200,
Banana (Sour),5/22/2025,100,160,
Papaw,5/22/2025,100,180,
Pineapple,5/22/2025,,300,
Apple (Imp),5/22/2025,,250,
Orange (Imp),5/22/2025,,250,
Samba,5/22/2025,235,240,
Nadu,5/22/2025,225,230,no
Kekulu (White),5/22/2025,215,220,
Kekulu (Red),5/22/2025,215,220,
Ponni Samba (Imp),5/22/2025,228,230,
Nadu,5/22/2025,210,220,no
Kekulu (White) (Imp),5/22/2025,208,,
Kelawalla,5/22/2025,1800,2840,
Thalapath,5/22/2025,2000,2580,
Balaya,5/22/2025,1300,,
Paraw,5/22/2025,1500,1880,
Salaya,5/22/2025,450,620,
Hurulla,5/22/2025,,,
Linna,5/22/2025,1100,1260,
Beans,5/21/2025,250,500,
Carrot,5/21/2025,700,1000,
Cabbage,5/21/2025,250,600,
Tomato,5/21/2025,600,940,
Brinjal,5/21/2025,300,600,
Pumpkin,5/21/2025,170,280,
Snake gourd,5/21/2025,300,480,
Green Chilli,5/21/2025,200,600,
Lime,5/21/2025,250,600,
Red Onion (Local),5/21/2025,300,,
Red Onion (lmp),5/21/2025,313,520,
Big Onion (Local),5/21/2025,,,
Big Onion (Imp),5/21/2025,91,140,
Potato (Local),5/21/2025,300,270,
Potato (Imp),5/21/2025,173,,
Dried Chilli (Imp),5/21/2025,550,760,
Coconut,5/21/2025,180,230,
Coconut oil,5/21/2025,850,907,
Red Dhal,5/21/2025,252,280,
Sugar,5/21/2025,215,230,
Egg,5/21/2025,27,33,
Katta (Imp),5/21/2025,1550,2800,
Sprat (Imp),5/21/2025,850,1200,
Banana (Sour),5/21/2025,100,180,
Papaw,5/21/2025,100,180,
Pineapple,5/21/2025,,330,
Apple (Imp),5/21/2025,,250,
Orange (Imp),5/21/2025,,250,
Samba,5/21/2025,235,240,
Nadu,5/21/2025,225,230,no
Kekulu (White),5/21/2025,215,220,
Kekulu (Red),5/21/2025,215,220,
Ponni Samba (Imp),5/21/2025,228,230,
Nadu,5/21/2025,210,220,no
