item,report_date,pettah_wholesale_today,narahenpita_retail_today,import
Tomato,6/27/2025,180,360,
Brinjal,6/27/2025,400,600,
Pumpkin,6/27/2025,120,200,
Snake gourd,6/27/2025,150,360,
Green Chilli,6/27/2025,500,800,
Lime,6/27/2025,200,600,
Red Onion (Local),6/27/2025,370,,
Red Onion (lmp),6/27/2025,344,520,
Big Onion (Local),6/27/2025,,,
Big Onion (Imp),6/27/2025,97,150,
Potato (Local),6/27/2025,295,380,
Potato (Imp),6/27/2025,149,220,
Dried Chilli (Imp),6/27/2025,600,760,
Coconut,6/27/2025,150,180,
Coconut oil,6/27/2025,853,866,
Red Dhal,6/27/2025,250,280,
Sugar,6/27/2025,215,230,
Egg,6/27/2025,32,34,
Katta (Imp),6/27/2025,1600,2800,
Sprat (Imp),6/27/2025,850,,
Banana (Sour),6/27/2025,80,160,
Papaw,6/27/2025,80,180,
Pineapple,6/27/2025,,480,
Apple (Imp),6/27/2025,,260,
Orange (Imp),6/27/2025,,260,
Samba,6/27/2025,235,,
Nadu,6/27/2025,223,230,no
Kekulu (White),6/27/2025,213,220,
Kekulu (Red),6/27/2025,213,220,
Ponni Samba (Imp),6/27/2025,228,,
Nadu,6/27/2025,210,220,no
Kekulu (White) (Imp),6/27/2025,208,210,
Kelawalla,6/27/2025,1300,2340,
Thalapath,6/27/2025,2100,2380,
Balaya,6/27/2025,1100,,
Paraw,6/27/2025,1500,1840,
Salaya,6/27/2025,680,680,
Hurulla,6/27/2025,1400,,
Linna,6/27/2025,750,880,
Beans,6/26/2025,500,800,
Carrot,6/26/2025,300,480,
Cabbage,6/26/2025,220,480,
Tomato,6/26/2025,200,400,
Brinjal,6/26/2025,350,600,
Pumpkin,6/26/2025,120,240,
Snake gourd,6/26/2025,150,360,
Green Chilli,6/26/2025,500,800,
Lime,6/26/2025,200,600,
Red Onion (Local),6/26/2025,368,,
Red Onion (lmp),6/26/2025,350,520,
Big Onion (Local),6/26/2025,,,
Big Onion (Imp),6/26/2025,90,150,
Potato (Local),6/26/2025,277,380,
Potato (Imp),6/26/2025,154,220,
Dried Chilli (Imp),6/26/2025,650,760,
Coconut,6/26/2025,150,180,
Coconut oil,6/26/2025,853,866,
Red Dhal,6/26/2025,250,280,
Sugar,6/26/2025,215,230,
Egg,6/26/2025,32,34,
Katta (Imp),6/26/2025,1600,2800,
Sprat (Imp),6/26/2025,850,,
Banana (Sour),6/26/2025,80,160,
Papaw,6/26/2025,80,180,
Pineapple,6/26/2025,,480,
Apple (Imp),6/26/2025,,260,
Orange (Imp),6/26/2025,,260,
Samba,6/26/2025,235,,
Nadu,6/26/2025,225,230,no
Kekulu (White),6/26/2025,213,220,
Kekulu (Red),6/26/2025,213,220,
Ponni Samba (Imp),6/26/2025,228,,
Nadu,6/26/2025,210,220,no
Kekulu (White) (Imp),6/26/2025,208,210,
Kelawalla,6/26/2025,1350,2340,
Thalapath,6/26/2025,2100,2380,
Balaya,6/26/2025,1100,1380,
Paraw,6/26/2025,1500,1840,
Salaya,6/26/2025,650,680,
Hurulla,6/26/2025,1300,,
Linna,6/26/2025,850,1040,
Beans,6/25/2025,550,800,
Carrot,6/25/2025,300,600,
Cabbage,6/25/2025,180,480,
Tomato,6/25/2025,200,400,
Brinjal,6/25/2025,400,700,
Pumpkin,6/25/2025,120,200,
Snake gourd,6/25/2025,150,360,
Green Chilli,6/25/2025,600,800,
Lime,6/25/2025,200,600,
Red Onion (Local),6/25/2025,375,,
Red Onion (lmp),6/25/2025,348,520,
Big Onion (Local),6/25/2025,,,
Big Onion (Imp),6/25/2025,94,150,
Potato (Local),6/25/2025,277,380,
Potato (Imp),6/25/2025,149,220,
Dried Chilli (Imp),6/25/2025,617,760,
Coconut,6/25/2025,150,180,
Coconut oil,6/25/2025,853,866,
Red Dhal,6/25/2025,250,280,
Sugar,6/25/2025,215,230,
Egg,6/25/2025,31,34,
Katta (Imp),6/25/2025,1600,2800,
Sprat (Imp),6/25/2025,850,,
Banana (Sour),6/25/2025,80,160,
Papaw,6/25/2025,80,180,
Pineapple,6/25/2025,,480,
Apple (Imp),6/25/2025,,260,
Orange (Imp),6/25/2025,,260,
Samba,6/25/2025,235,,
Nadu,6/25/2025,225,230,no
Kekulu (White),6/25/2025,213,220,
Kekulu (Red),6/25/2025,213,220,
Ponni Samba (Imp),6/25/2025,228,,
Nadu,6/25/2025,210,220,no
Kekulu (White) (Imp),6/25/2025,208,210,
Kelawalla,6/25/2025,1350,2340,
Thalapath,6/25/2025,2100,2380,
Balaya,6/25/2025,850,1140,
Paraw,6/25/2025,1300,1700,
Salaya,6/25/2025,650,680,
Hurulla,6/25/2025,,,
Linna,6/25/2025,750,940,
Beans,6/24/2025,650,700,
Carrot,6/24/2025,300,480,
Cabbage,6/24/2025,150,480,
Tomato,6/24/2025,200,400,
Brinjal,6/24/2025,350,660,
Pumpkin,6/24/2025,120,200,
Snake gourd,6/24/2025,150,360,
Green Chilli,6/24/2025,550,800,
Lime,6/24/2025,200,600,
Red Onion (Local),6/24/2025,383,,
Red Onion (lmp),6/24/2025,348,520,
Big Onion (Local),6/24/2025,,,
Big Onion (Imp),6/24/2025,94,150,
Potato (Local),6/24/2025,300,380,
Potato (Imp),6/24/2025,153,220,
Dried Chilli (Imp),6/24/2025,600,760,
Coconut,6/24/2025,150,180,
Coconut oil,6/24/2025,853,894,
Red Dhal,6/24/2025,250,280,
Sugar,6/24/2025,215,230,
Egg,6/24/2025,32,34,
Katta (Imp),6/24/2025,1600,3000,
Sprat (Imp),6/24/2025,850,,
Banana (Sour),6/24/2025,80,160,
Papaw,6/24/2025,80,180,
Pineapple,6/24/2025,,480,
Apple (Imp),6/24/2025,,260,
Orange (Imp),6/24/2025,,260,
Samba,6/24/2025,235,,
Nadu,6/24/2025,225,230,no
Kekulu (White),6/24/2025,213,220,
Kekulu (Red),6/24/2025,213,220,
Ponni Samba (Imp),6/24/2025,228,,
Nadu,6/24/2025,210,220,no
Kekulu (White) (Imp),6/24/2025,208,210,
Kelawalla,6/24/2025,1350,2520,
Thalapath,6/24/2025,2100,,
